見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
難病患者就職サポーター出張相談会,,,,毎月第1火曜（1月は第2火曜）(1)13:30?14:30(2)14:45?15:45,難病・子ども保健相談支援センター（和歌山市）,難病のある方、家族、事業主など,各回2組（先着順）,,,,電話、ファックスで住所、氏名、電話（ファックス）番号、参加人数、相談内容を各回5日前までに会場電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/,,,
県難病・子ども保健相談支援センターからのお知らせ,どもの内分泌疾患（低身長）講演会,,,11月19日（日）13:30?15:30,情報交流センターBig・U（田辺市）,患者、家族、教育、保健・医療・福祉関係者など,50人（先着順）,,,,電話、ファックスで事業名、氏名、電話（ファックス）番号、参加人数[手話通訳・要約筆記希望者は(1)10月19日(2)20日(3)25日、一時保育希望者は(1)11月8日(2)9日までに]を県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/index.html,,,
県難病・子ども保健相談支援センターからのお知らせ,子どもの医療講演会,,,11月22日(水)13:30?15:00,東牟婁振興局（新宮市）,,50人（先着順）,,,,電話、ファックスで事業名、氏名、電話（ファックス）番号、参加人数[手話通訳・要約筆記希望者は(1)10月19日(2)20日(3)25日、一時保育希望者は(1)11月8日(2)9日までに]を県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/index.html,,,
県難病・子ども保健相談支援センターからのお知らせ,在宅療養の患者・家族のための研修会「災害に備える」,,,11月25日(土)13:30?16:00,情報交流センターBig・U（田辺市）,患者、家族、保健・医療・福祉関係者など,50人（先着順）,,,,電話、ファックスで事業名、氏名、電話（ファックス）番号、参加人数[手話通訳・要約筆記希望者は(1)10月19日(2)20日(3)25日、一時保育希望者は(1)11月8日(2)9日までに]を県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/index.html,,,
県修学奨励金（進学助成金）,,貸与額（一時金）：10?50万円返還：無利子、卒業後5年以内,,,,大学・短大・専修学校（修業年限2年以上の専門課程）進学予定者,,,,,所定の申請書（申込先などで配布）を10月2日?11月10日に在学校または県教育庁生涯学習課　,,,,http://www.pref.wakayama.lg.jp/prefg/500600/0syogai_top.html,,,
県文化表彰受賞記念講演,講師：昨年度文化功労賞受賞の井阪紘氏,,,11月14日（火）18:30?19:30,アバローム紀の国（和歌山市）,,200人（先着順）,,,,郵送、ファックス、Eメールで住所、氏名、電話番号、希望人数を11月7日までに県庁文化学術課ファックス073-436-7767,,,,http://www.pref.wakayama.lg.jp/prefg/022100/hyosho/hyousyou.html,,mailto:e0221001@pref.wakayama.lg.jp,
県ナースセンターからのお知らせ,看護職の有資格者で現在就業していない方への研修,潜在看護職復職支援研修（紀南）,,10月24?31日のうち6日間,情報交流センターBig・U（田辺市）※実習は県内病院など,看護職,20人（先着順）,,郵送、電話、ファックス、Eメールで所定の申込書（申込先で配布）を10月16日までに問合先,県ナースセンター（県看護協会内）〒642-0017海南市南赤坂17電話073-483-0234　ファックス073-483-1266,,,,,http://www.wakayama-kangokyokai.or.jp/new_site/,,riji@wakayama-kangokyokai.or.jp,
県ナースセンターからのお知らせ,看護職の有資格者で現在就業していない方への研修,ナースの輝く人生応援交流会（再就業促進研修）,,11月16日（木）10:00?12:00,看護研修センター（海南市）,看護職,50人（先着順）,,郵送、電話、ファックス、Eメールで住所、氏名、年齢、電話番号、一時保育希望の有無を11月10日までに問合先,県ナースセンター（県看護協会内）〒642-0017海南市南赤坂17電話073-483-0234　ファックス073-483-1266,,,,,,,wakayama@nurse-center.net,
潜在看護師服飾支援,,,,11月7日（火）10:00?15:00,県立医大高度医療人材育成センター（和歌山市）,看護師の有資格者で現在就業していない方,10名（選考）,,,,郵送、Eメールで所定の申込書（WEBサイトで配布）を10月31日までに県立医大看護キャリア開発センター〒641-8509和歌山市紀三井寺811-1 電話073-441-0768,,,,http://www.wakayama-med.ac.jp/,,kango-c@wakayama-med.ac.jp,
県聴覚障害者情報センターからお知らせ,手話とふれ合おう！,,,11月4日（土）13:30?15:00,和歌山ビッグ愛（和歌山市）,,20人（先着順）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を10月24日県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛6階電話073-421-6311　ファックス073-421-6411,,,,http://wakayama-tyoukaku.la.coocan.jp/,,w-mikan@nifty.com,
県聴覚障害者情報センターからお知らせ,聴覚障害者文化教室,,,11月25日（土）13:15?15:30,南方熊楠ゆかりの地を巡る（和歌山市）,県内在住の聴覚障害者,20人（抽選）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を11月4日県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛6階電話073-421-6311　ファックス073-421-6411,,,,http://wakayama-tyoukaku.la.coocan.jp/,,w-mikan@nifty.com,
県立文書館歴史講座,テーマ：(1)地域の中の「偉人」顕彰(2)１?の場所の歴史から分かること(3)西行と和歌山,,,：(1)10月17日 (2)24日(3)31日いずれも火曜13:30?15:00,きのくに志学館（和歌山市）,,各90人（先着順）,,,県立文書館 電話073-436-9540,,,,,https://www.lib.wakayama-c.ed.jp/monjyo/,,,
空き家活用・適正管理セミナー、相談会,,,,(1)10月28日（土）13:30?16:30(2)29日（日）9:00?12:00(3)29日（日）15:00?18:00,(1)中央コミュニティセンター（和歌山市）(2)新宮市福祉センター(3)情報交流センターBig・U（田辺市）,空き家所有者など,各100人（先着順）,,,,電話、ファックス、Eメールで所定の申込書（申込先、各振興局建設部、市町村、WEBサイトなどで配布）を10月25日（手話通訳・要約筆記希望者は10月13日）までに県庁建築住宅課ファックス073-428-2038,,,,http://www.pref.wakayama.lg.jp/prefg/080800/,,e0808002@pref.wakayama.lg.jp,
わかふるコンサート2017,紀南病院ハートフルコンサート,,,10月21日（土）14:30?,紀南病院（田辺市）,,各100人（先着順）,,,県民文化会館（和歌山市）電話073-436-1331,,,,,http://www.wacaf.or.jp/index.html,,,
わかふるコンサート2017,動物愛護センターコンサート,,,11月5日（日）13:30?,県動物愛護センター（紀美野町）,,各100人（先着順）,,,県民文化会館（和歌山市）電話073-436-1331,,,,,http://www.wacaf.or.jp/index.html,,,
